indice,g_proba,g_monto,ge,leads,desembolso,marcaciones
6.0,2.0,1.0,5.0,2119.0,814506.25,8476.0
6.0,2.0,1.0,4.0,2119.0,857375.0,10595.0
6.0,2.0,1.0,2.0,2119.0,950000.0,19071.0
6.0,2.0,1.0,3.0,2119.0,902500.0,14833.0
13.0,3.0,3.0,1.0,4577.0,674895.0075,50347.0
13.0,3.0,3.0,5.0,4577.0,551083.91148125,18308.0
13.0,3.0,3.0,4.0,4577.0,580088.327875,22885.0
13.0,3.0,3.0,2.0,4577.0,642757.15,41193.0
13.0,3.0,3.0,3.0,4577.0,610619.2925,32039.0
14.0,3.0,4.0,1.0,5156.0,506189.25,56716.0
14.0,3.0,4.0,5.0,5156.0,413327.626875,20624.0
14.0,3.0,4.0,3.0,5156.0,457980.75,36092.0
14.0,3.0,4.0,2.0,5156.0,482085.0,46404.0
14.0,3.0,4.0,4.0,5156.0,435081.7125,25780.0
15.0,3.0,5.0,1.0,5376.0,281857.8,59136.0
15.0,3.0,5.0,5.0,5376.0,230150.3155,21504.0
15.0,3.0,5.0,3.0,5376.0,255014.2,37632.0
15.0,3.0,5.0,2.0,5376.0,268436.0,48384.0
15.0,3.0,5.0,4.0,5376.0,242263.49,26880.0
31.0,7.0,1.0,1.0,5168.0,1840252.2075,56848.0
31.0,7.0,1.0,5.0,5168.0,1506419.6075,20672.0
31.0,7.0,1.0,4.0,5168.0,1585704.85,25840.0
31.0,7.0,1.0,2.0,5168.0,1752621.15,46512.0
31.0,7.0,1.0,3.0,5168.0,1669163.0,36176.0
3.0,1.0,3.0,1.0,4097.0,3540295.5,45067.0
3.0,1.0,3.0,5.0,4097.0,2883592.811596875,16388.0
3.0,1.0,3.0,4.0,4097.0,3035360.8543125,20485.0
3.0,1.0,3.0,2.0,4097.0,3363280.725,36873.0
3.0,1.0,3.0,3.0,4097.0,3195116.68875,28679.0
38.0,8.0,3.0,1.0,4162.0,535468.87839375,45782.0
38.0,8.0,3.0,5.0,4162.0,439430.2425,16648.0
38.0,8.0,3.0,4.0,4162.0,462558.15,20810.0
38.0,8.0,3.0,2.0,4162.0,509970.360375,37458.0
38.0,8.0,3.0,3.0,4162.0,485686.0575,29134.0
18.0,4.0,3.0,1.0,4374.0,889967.65,48114.0
18.0,4.0,3.0,5.0,4374.0,724884.2132228125,17496.0
18.0,4.0,3.0,3.0,4374.0,803195.804125,30618.0
18.0,4.0,3.0,2.0,4374.0,845469.2675,39366.0
18.0,4.0,3.0,4.0,4374.0,763036.01391875,21870.0
19.0,4.0,4.0,1.0,4351.0,505792.0,47861.0
19.0,4.0,4.0,5.0,4351.0,411970.7452,17404.0
19.0,4.0,4.0,3.0,4351.0,456477.28,30457.0
19.0,4.0,4.0,2.0,4351.0,480502.4,39159.0
19.0,4.0,4.0,4.0,4351.0,433653.416,21755.0
23.0,5.0,3.0,1.0,4209.0,1531755.7395,46299.0
23.0,5.0,3.0,5.0,4209.0,1250751.50205125,16836.0
23.0,5.0,3.0,4.0,4209.0,1316580.528475,21045.0
23.0,5.0,3.0,2.0,4209.0,1458814.99,37881.0
23.0,5.0,3.0,3.0,4209.0,1385874.2405,29463.0
